id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ cho việc khắc phục sau phản hồi ban đầu trong 15 phút kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,"The answer accurately reflects the SLA for ticket P1, stating the initial response time of 15 minutes and the resolution time of 4 hours, which are both directly quoted from the provided context.",5,The answer directly and fully addresses the user's question about the SLA for P1 ticket processing time.,5,Retrieved: 1/1 expected sources,3,"The model answer is missing the initial response time of 15 minutes, which is an important detail.",baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,"The answer accurately reflects the information provided in the retrieved chunks, specifically stating that customers can request a refund within 7 working days from the order confirmation, which is supported by the text in chunk 1.",5,The answer directly and fully addresses the user's question about the refund request timeframe.,5,Retrieved: 1/1 expected sources,5,The model answer covers all key points of the expected answer.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,"The answer accurately reflects the approval requirements for Level 3 access as stated in the retrieved chunk, specifically mentioning the need for approval from Line Manager, IT Admin, and IT Security.",5,The answer directly and fully addresses the user's question about who must approve Level 3 access.,5,Retrieved: 1/1 expected sources,5,All key points are covered in the model answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",3,"The answer correctly states that digital products are not eligible for refunds, which is supported by the retrieved chunks. However, it inaccurately implies that refunds for digital products are possible if there is a manufacturing defect, which is not explicitly stated in the provided context. The conditions for refunds do not mention exceptions for digital products in case of defects.",5,The answer directly and fully addresses the user's question about the refund policy for digital products.,5,Retrieved: 1/1 expected sources,3,The model answer is missing important information about the specific policy regarding digital products and exceptions.,baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,The answer accurately reflects the information provided in the retrieved chunk regarding account lockout after 5 failed login attempts and the options for unlocking the account.,5,The answer directly and fully addresses the user's question about the number of failed login attempts before an account is locked.,5,Retrieved: 1/1 expected sources,4,"The model answer is mostly complete but includes additional information about unlocking the account, which is not part of the expected answer.",baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,"The answer accurately reflects the escalation process for P1 incidents as described in the provided chunks, including the steps for initial response, escalation, and updates. All information is consistent with the context.",5,The answer directly and fully addresses the user's question about the escalation process in P1 incidents.,5,Retrieved: 1/1 expected sources,3,The model answer provides a detailed escalation process but misses the key point that the ticket automatically escalates to the Senior Engineer if there is no response within 10 minutes after ticket creation.,baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,"The answer accurately references the document's previous name as stated in the retrieved chunk, which is directly supported by the provided context.",5,The answer directly and fully addresses the user's question by providing the specific name of the document.,5,Retrieved: 1/1 expected sources,2,"The model answer is missing the important detail that the document has a new name, which is 'Access Control SOP'.",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,"Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc, và lịch remote phải được phê duyệt bởi Team Lead qua HR Portal [1].","Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,"The answer accurately reflects the information provided in the retrieved chunk regarding remote work conditions, specifically that employees can work remotely up to 2 days per week after completing their probation period and that the remote schedule must be approved by the Team Lead through the HR Portal.",5,The answer directly and fully addresses the user's question about the maximum number of remote days allowed per week.,5,Retrieved: 1/1 expected sources,4,"The model answer covers all key points but includes additional detail about HR Portal, which is not necessary.",baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Không đủ dữ liệu trong tài liệu được cung cấp.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",1,"The answer states that there is insufficient data in the provided documents, which is incorrect as there are clear procedures and notes outlined in the retrieved chunks.",1,The answer does not address the question about the ERR-403-AUTH error and its resolution.,,No expected sources,1,Most of the expected answer is missing; the model does not address the error type or provide a solution.,baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?",Không có thông tin nào trong bối cảnh đề cập đến quy trình hoàn tiền khẩn cấp cho khách hàng VIP. Tôi không biết.,"Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",1,"The answer states that there is no information about an emergency refund process for VIP customers, which is not addressed in the provided context. However, the context does not mention anything about VIP customers or emergency refunds, leading to a lack of relevance.",1,The answer does not address the question and states a lack of information.,5,Retrieved: 1/1 expected sources,1,Most of the expected answer is missing; the model does not address the standard process for refunds.,baseline_dense
