id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu kể từ khi ticket được tạo [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): Directly and fully answers the question with specific SLA details.,5,Retrieved: 1/1 expected sources,5,LLM-as-Judge (gpt-4o): Includes all key points in expected answer.,baseline_dense
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,LLM-as-Judge (gpt-4o): The answer is fully supported by the context in [1].,5,LLM-as-Judge (gpt-4o): Directly and fully answers the question about refund request timeframe.,5,Retrieved: 1/1 expected sources,5,LLM-as-Judge (gpt-4o): Model answer includes all key points.,baseline_dense
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần phê duyệt của Line Manager, IT Admin và IT Security [1].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): Answer directly and fully addresses the question about approval for Level 3 access.,5,Retrieved: 1/1 expected sources,5,LLM-as-Judge (gpt-4o): Model answer includes all key points from expected answer.,baseline_dense
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",2,LLM-as-Judge (gpt-4o): Answer adds unsupported exception for digital products with manufacturer error.,5,LLM-as-Judge (gpt-4o): Directly answers the question about refund policy for digital products.,5,Retrieved: 1/1 expected sources,3,LLM-as-Judge (gpt-4o): Missing key policy detail on exceptions. | missing: ['Policy exception for digital products not refundable.'],baseline_dense
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, bạn cần liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): Directly answers the question with specific details on login attempts and unlocking process.,5,Retrieved: 1/1 expected sources,5,LLM-as-Judge (gpt-4o): Model answer includes all key points.,baseline_dense
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau:

1. On-call engineer nhận alert hoặc ticket và xác nhận severity trong 5 phút.
2. Nếu không có phản hồi trong 10 phút, ticket sẽ tự động escalate lên Senior Engineer.
3. Lead Engineer phân công engineer xử lý trong 10 phút.
4. Engineer cập nhật tiến độ lên ticket mỗi 30 phút và nếu cần hỗ trợ thêm, sẽ escalate ngay.

Quy trình này đảm bảo rằng sự cố P1 được xử lý kịp thời và hiệu quả [2][3].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,LLM-as-Judge (gpt-4o): Answer is fully supported by context from [2] and [3].,5,LLM-as-Judge (gpt-4o): The answer directly and fully explains the escalation process for a P1 incident.,5,Retrieved: 1/1 expected sources,4,LLM-as-Judge (gpt-4o): Includes key escalation detail but adds extra steps. | missing: ['Automatic escalation after 10 minutes without response.'],baseline_dense
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,LLM-as-Judge (gpt-4o): The answer is fully grounded in context [1].,5,LLM-as-Judge (gpt-4o): The answer directly and fully identifies the document as 'Approval Matrix for System Access'.,5,Retrieved: 1/1 expected sources,3,"LLM-as-Judge (gpt-4o): Missing important information about the new name of the document. | missing: [""New name 'Access Control SOP' (access-control-sop.md).""]",baseline_dense
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): Directly and fully answers the question about remote work days per week.,5,Retrieved: 1/1 expected sources,3,LLM-as-Judge (gpt-4o): Missing approval condition by Team Lead. | missing: ['Approval by Team Lead is required.'],baseline_dense
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,"ERR-403-AUTH là lỗi liên quan đến quyền truy cập. Cách xử lý có thể bao gồm việc tạo yêu cầu cấp quyền thông qua Jira, sau đó yêu cầu này sẽ được phê duyệt bởi Line Manager và kiểm tra bởi IT Admin [1].","Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",4,"LLM-as-Judge (gpt-4o): Answer mostly grounded, but ERR-403-AUTH error handling not explicitly mentioned in context.",4,"LLM-as-Judge (gpt-4o): Correctly identifies the error and provides a solution, but lacks detail on the error's context.",,No expected sources,2,"LLM-as-Judge (gpt-4o): Missing key point about lack of information on ERR-403-AUTH. | missing: ['Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có.', 'Liên hệ IT Helpdesk.']",baseline_dense
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin cụ thể nào trong bối cảnh về việc quy trình hoàn tiền cho khách hàng VIP có khác biệt hay không. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,LLM-as-Judge (gpt-4o): Answer correctly states lack of context information on VIP refund process.,3,LLM-as-Judge (gpt-4o): Answer is related but does not directly address if the process differs for VIP customers.,5,Retrieved: 1/1 expected sources,3,LLM-as-Judge (gpt-4o): Missing some important information | missing: ['Standard refund process timeframe of 3-5 days is not mentioned.'],baseline_dense
q01,SLA,SLA xử lý ticket P1 là bao lâu?,SLA xử lý ticket P1 là 4 giờ để khắc phục và 15 phút để phản hồi ban đầu [1].,Ticket P1 có SLA phản hồi ban đầu 15 phút và thời gian xử lý (resolution) là 4 giờ.,5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): Directly and fully answers the question about SLA for P1 tickets.,5,Retrieved: 1/1 expected sources,5,LLM-as-Judge (gpt-4o): Model answer includes all key points.,variant_hybrid
q02,Refund,Khách hàng có thể yêu cầu hoàn tiền trong bao nhiêu ngày?,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng [1].,Khách hàng có thể yêu cầu hoàn tiền trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,5,LLM-as-Judge (gpt-4o): The answer is fully supported by the context provided in [1].,5,LLM-as-Judge (gpt-4o): Directly and fully answers the question about refund request timeframe.,5,Retrieved: 1/1 expected sources,5,LLM-as-Judge (gpt-4o): Model answer includes all key points.,variant_hybrid
q03,Access Control,Ai phải phê duyệt để cấp quyền Level 3?,"Để cấp quyền Level 3, cần có sự phê duyệt của Line Manager, IT Admin và IT Security [2].","Level 3 (Elevated Access) cần phê duyệt từ Line Manager, IT Admin, và IT Security.",5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [2].,5,LLM-as-Judge (gpt-4o): The answer directly and fully addresses who approves Level 3 access.,5,Retrieved: 1/1 expected sources,5,LLM-as-Judge (gpt-4o): Model answer includes all key points.,variant_hybrid
q04,Refund,Sản phẩm kỹ thuật số có được hoàn tiền không?,"Sản phẩm kỹ thuật số không được hoàn tiền, trừ khi có lỗi do nhà sản xuất và đáp ứng các điều kiện khác [1].","Không. Theo chính sách hoàn tiền, sản phẩm thuộc danh mục hàng kỹ thuật số (license key, subscription) là ngoại lệ không được hoàn tiền.",1,LLM-as-Judge (gpt-4o): Answer claims exceptions for digital products not supported by context.,5,LLM-as-Judge (gpt-4o): Directly answers the question about refund policy for digital products.,5,Retrieved: 1/1 expected sources,3,LLM-as-Judge (gpt-4o): Missing key policy detail on exceptions. | missing: ['Policy exception for digital products not refundable.'],variant_hybrid
q05,IT Helpdesk,Tài khoản bị khóa sau bao nhiêu lần đăng nhập sai?,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp. Để mở khóa, liên hệ IT Helpdesk hoặc tự reset qua portal SSO [1].",Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): Directly answers the question about the number of failed login attempts before account lock.,5,Retrieved: 1/1 expected sources,5,LLM-as-Judge (gpt-4o): Includes all key points in expected answer.,variant_hybrid
q06,SLA,Escalation trong sự cố P1 diễn ra như thế nào?,"Escalation trong sự cố P1 diễn ra như sau: On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền sẽ bị thu hồi tự động. Tất cả quyền tạm thời phải được ghi log vào hệ thống Security Audit [1].",Ticket P1 tự động escalate lên Senior Engineer nếu không có phản hồi trong 10 phút sau khi tạo ticket.,5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,3,LLM-as-Judge (gpt-4o): Answer discusses escalation process but lacks specific details on P1 incident escalation.,5,Retrieved: 1/1 expected sources,1,LLM-as-Judge (gpt-4o): Model answer misses most core content. | missing: ['Ticket P1 escalation to Senior Engineer after 10 minutes without response.'],variant_hybrid
q07,Access Control,Approval Matrix để cấp quyền hệ thống là tài liệu nào?,"Approval Matrix để cấp quyền hệ thống là tài liệu trước đây có tên ""Approval Matrix for System Access"" [1].",Tài liệu 'Approval Matrix for System Access' hiện tại có tên mới là 'Access Control SOP' (access-control-sop.md).,5,LLM-as-Judge (gpt-4o): The answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): The answer directly identifies the document related to the question.,5,Retrieved: 1/1 expected sources,3,"LLM-as-Judge (gpt-4o): Missing important information about the new name of the document. | missing: [""New name 'Access Control SOP' (access-control-sop.md).""]",variant_hybrid
q08,HR Policy,Nhân viên được làm remote tối đa mấy ngày mỗi tuần?,Nhân viên được làm remote tối đa 2 ngày mỗi tuần sau khi hoàn thành thời gian thử việc [1].,"Nhân viên sau probation period có thể làm remote tối đa 2 ngày/tuần, với điều kiện được Team Lead phê duyệt.",5,LLM-as-Judge (gpt-4o): Answer is fully supported by context [1].,5,LLM-as-Judge (gpt-4o): Directly and fully answers the question about remote work days per week.,5,Retrieved: 1/1 expected sources,3,LLM-as-Judge (gpt-4o): Missing approval condition by Team Lead. | missing: ['Approval by Team Lead is required.'],variant_hybrid
q09,Insufficient Context,ERR-403-AUTH là lỗi gì và cách xử lý?,Tôi không biết.,"Không tìm thấy thông tin về ERR-403-AUTH trong tài liệu hiện có. Đây có thể là lỗi liên quan đến xác thực (authentication), hãy liên hệ IT Helpdesk.",5,LLM-as-Judge (gpt-4o): Answer is fully grounded as it makes no unsupported claims.,1,LLM-as-Judge (gpt-4o): The answer does not address the question about the error code or its resolution.,,No expected sources,2,"LLM-as-Judge (gpt-4o): Missing many important points. | missing: ['No information about ERR-403-AUTH', 'Possible relation to authentication', 'Suggestion to contact IT Helpdesk']",variant_hybrid
q10,Refund,"Nếu cần hoàn tiền khẩn cấp cho khách hàng VIP, quy trình có khác không?","Không có thông tin cụ thể nào trong bối cảnh về việc quy trình hoàn tiền cho khách hàng VIP có khác biệt hay không. Do đó, tôi không biết.","Tài liệu chính sách hoàn tiền không đề cập đến quy trình đặc biệt cho khách hàng VIP. Theo chính sách hiện hành, tất cả yêu cầu hoàn tiền đều theo cùng quy trình tiêu chuẩn trong 3-5 ngày làm việc.",5,LLM-as-Judge (gpt-4o): Answer correctly states lack of information on VIP refund process in context.,3,LLM-as-Judge (gpt-4o): Answer is related but does not directly address if the process differs for VIP customers.,5,Retrieved: 1/1 expected sources,3,LLM-as-Judge (gpt-4o): Missing standard refund process details. | missing: ['Standard refund process takes 3-5 business days.'],variant_hybrid
